Pair,Executor,Dir,Size,Entry,Close,StopLoss,TakeProfit,PnL,Reason,Duration,Status,CloseTime
ETH/USDT,Agent,Sell,0.1034,1681.44,1708.50,1705.46,1605.13,-2.97,SL,8h 27m,Closed,8 Jun 11:07 PM
XRP/USDT,Smart,Sell,813,1.1746,1.1865,1.1855,1.1503,-10.61,SL,4h 30m,Closed,8 Jun 9:32 PM
ADA/USDT,Smart,Sell,4874,0.1702,0.1725,0.1723,0.1672,-12.10,SL,3h 17m,Closed,8 Jun 8:30 PM
SOL/USDT,Agent,Buy,2.55,67.82,66.59,66.60,69.64,-3.29,SL,1h 58m,Closed,8 Jun 7:11 PM
BTC/USDT,Smart,Sell,0.04096,63490.81,64242.17,64181.73,62275.34,-33.41,SL,5h 57m,Closed,8 Jun 5:14 PM
SOL/USDT,Agent,Sell,2.56,67.38,67.81,67.74,65.33,-1.27,SL,10m,Closed,8 Jun 5:13 PM
DOGE/USDT,Agent,Sell,2014.80273,0.086260,0.087407,0.087300,0.083430,-2.49,SL,3h 52m,Closed,8 Jun 5:13 PM
ADA/USDT,Agent,Sell,1036,0.1675,0.1703,0.1702,0.1627,-3.08,SL,3h 44m,Closed,8 Jun 5:12 PM
XRP/USDT,Agent,Sell,148,1.1684,1.1755,1.1750,1.1332,-1.22,SL,2h 2m,Closed,8 Jun 5:02 PM
SOL/USDT,Agent,Sell,2.61,66.58,67.26,67.23,64.84,-1.94,SL,3h 41m,Closed,8 Jun 4:57 PM
BNB/USDT,Smart,Sell,2.89,599.24,602.57,605.71,591.29,-11.36,Manual,4h 0m,Closed,8 Jun 3:17 PM
XRP/USDT,Agent,Sell,149,1.1583,1.1628,1.1689,1.1171,-0.84,Manual,1h 37m,Closed,8 Jun 2:59 PM
ETH/USDT,Agent,Sell,0.1054,1664.38,1685.15,1694.48,1619.35,-2.37,Manual,4h 0m,Closed,8 Jun 2:40 PM
DOGE/USDT,Smart,Buy,6560.08126,0.085796,0.086463,0.085281,0.086567,3.81,Manual,2h 10m,Closed,8 Jun 1:32 PM
ADA/USDT,Agent,Sell,1043,0.1666,0.1679,0.1677,0.1602,-1.53,SL,7m,Closed,8 Jun 1:28 PM
XRP/USDT,Agent,Sell,152,1.1486,1.1591,1.1585,1.1072,-1.77,SL,3h 32m,Closed,8 Jun 1:22 PM
DOGE/USDT,Agent,Sell,2059.93824,0.085186,0.086316,0.086293,0.083224,-2.51,SL,2h 46m,Closed,8 Jun 1:20 PM
ADA/USDT,Smart,Sell,21542,0.1649,0.1665,0.1667,0.1617,-38.00,SL,1h 25m,Closed,8 Jun 1:20 PM
SOL/USDT,Agent,Sell,11.66,65.58,66.73,66.63,63.68,-14.13,SL,2h 33m,Closed,8 Jun 1:16 PM
ADA/USDT,Agent,Sell,1063,0.1645,0.1650,0.1649,0.1576,-0.71,SL,37m,Closed,8 Jun 11:54 AM
ADA/USDT,Agent,Sell,1074,0.1633,0.1649,0.1646,0.1573,-1.90,SL,1h 29m,Closed,8 Jun 11:17 AM
BNB/USDT,Smart,Sell,1.005,596.73,600.01,600.32,591.36,-3.90,SL,11m,Closed,8 Jun 11:17 AM
